Station ID,Station Name,Latitude ,Longitude
VS - 01,Peelamedu,11.0495204,77.0004755
VS - 02,Sitra,11.0376891,77.0375797
VS - 03,Airport ,11.0311866,77.0391246
VS - 04,Codissia,11.0303957,77.0290244
VS - 05,Tidel park,11.0279182,77.0216843
VS - 06,Fun mall,11.0242464,77.0078385
VS - 07,Nava India,11.0209418,76.9929864
VS - 08,Lakshmi Mills,11.0133344,76.9867699
VS - 09,Geedee Naidu Museum,11.0066894,76.9793939
VS - 10,Railway station,10.9965307,76.9679803
VS - 11,KG,11.000233,76.971291
VS - 12,Ukkadam Bus stand,10.9885121,76.9619909
VS - 13,Singanallur Bus stand,11.0016251,77.028705
VS - 14,Race course,10.9996941,76.9821116
VS - 15,Gandhipuram Bus stand,11.0168279,76.9693609
VS - 16,Sai Baba Colony,11.0192107,76.9632912
VS - 17,Pro zone,11.0546832,76.9952681
VS - 18,Kumaraguru College,11.0801455,76.9893232
VS - 19,Town Hall,10.9923058,76.9611163
VS - 20,Udayapalayam,11.0075279,76.9991197
