,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
VS - 01,31.0,31.0,29.5,14.5,17.5,12.0,17.0,14.5,26.0,28.0,29.0,23.5,8.5,13.5,10.0,16.0
VS - 02,31.5,30.0,33.5,14.5,15.0,9.5,9.0,12.5,27.0,29.0,35.0,29.0,15.5,22.0,17.5,20.0
VS - 03,16.0,19.0,19.5,5.5,9.0,9.5,6.0,7.5,13.0,20.5,23.0,12.5,4.5,5.0,12.5,13.5
VS - 04,26.5,25.0,31.0,16.0,25.0,28.5,21.5,15.0,36.5,35.0,33.5,34.0,22.0,27.0,24.0,25.5
VS - 05,31.5,32.0,26.0,17.5,23.5,25.5,22.5,15.0,34.5,39.5,37.0,22.0,18.0,17.5,17.0,21.5
VS - 06,38.5,39.5,45.0,35.5,35.5,31.0,31.0,29.5,39.5,46.5,46.0,39.0,32.0,28.0,35.0,37.0
VS - 07,23.0,30.5,24.5,11.5,27.5,22.5,27.0,14.5,33.0,37.5,33.5,20.5,13.5,16.0,13.5,14.5
VS - 08,18.5,27.5,19.0,11.0,12.0,11.5,13.0,13.0,26.0,36.0,23.0,17.5,8.5,9.0,12.0,13.5
VS - 09,39.5,34.0,34.5,21.5,33.5,26.5,20.0,24.5,41.5,40.5,39.0,38.0,31.0,34.0,33.5,33.5
VS - 10,46.0,45.5,49.0,39.0,37.0,37.5,32.5,34.0,46.5,43.0,43.5,39.5,38.5,39.5,36.5,41.0
VS - 11,40.0,46.5,47.5,36.0,36.0,33.5,36.5,35.5,39.0,43.5,45.5,40.0,32.5,29.5,35.0,40.0
VS - 12,43.5,39.0,40.0,21.5,19.0,22.5,25.5,20.0,26.5,28.5,33.0,27.0,21.0,22.5,20.5,24.5
VS - 13,32.5,33.0,33.0,20.5,27.0,24.5,24.5,20.0,39.0,37.0,38.5,32.0,23.0,21.5,20.0,21.5
VS - 14,35.0,40.0,36.5,23.5,22.5,23.5,17.5,19.5,32.0,31.0,27.5,28.5,21.5,17.5,22.0,20.5
VS - 15,48.5,52.5,47.0,34.0,40.5,37.5,41.0,40.0,42.5,48.5,51.5,42.5,35.5,39.0,37.5,45.0
VS - 16,39.0,37.0,35.0,19.0,19.0,14.5,16.0,20.0,30.0,34.5,35.0,25.5,18.0,22.5,18.5,19.5
VS - 17,45.0,45.5,44.5,19.5,24.0,20.5,23.5,21.5,33.5,37.0,46.0,40.0,29.0,26.0,26.0,26.5
VS - 18,34.5,35.0,36.0,19.5,34.0,32.0,33.5,20.0,31.0,36.5,39.5,28.0,21.5,23.5,24.0,25.5
VS - 19,37.0,42.0,34.5,29.0,32.0,27.0,28.5,26.0,36.5,38.5,50.5,47.5,38.5,28.5,26.5,29.5
VS - 20,16.0,19.0,17.5,12.5,12.0,6.0,5.0,6.5,14.0,20.0,18.0,13.0,7.5,12.0,6.5,10.5
